Economy,variable,value
03_CDA,2021,37.924
04_CHL,2021,18.605
05_PRC,2021,1428.48
06_HKC,2021,7.598
07_INA,2021,274.854
08_JPN,2021,126.109
09_ROK,2021,51.667
10_MAS,2021,33.289
11_MEX,2021,135.384
12_NZ,2021,4.875
13_PNG,2021,8.926
14_PE,2021,33.686
15_RP,2021,111.303
16_RUS,2021,143.636
17_SIN,2021,5.991
18_CT,2021,23.873
19_THA,2021,69.498
20_USA,2021,333.784
21_VN,2021,99.284
27_WOR,2021,
01_AUS,2022,25.996
02_BD,2022,0.455
03_CDA,2022,38.242
04_CHL,2022,18.734
05_PRC,2022,1431.85
06_HKC,2022,7.643
07_INA,2022,277.425
08_JPN,2022,125.697
09_ROK,2022,51.817
10_MAS,2022,33.711
11_MEX,2022,136.869
12_NZ,2022,4.916
13_PNG,2022,9.097
14_PE,2022,34.055
15_RP,2022,112.902
16_RUS,2022,143.442
17_SIN,2022,6.04
18_CT,2022,23.923
19_THA,2022,69.568
20_USA,2022,336.15
21_VN,2022,100.195
27_WOR,2022,
01_AUS,2023,26.287
02_BD,2023,0.459
03_CDA,2023,38.556
04_CHL,2023,18.859
05_PRC,2023,1434.676
06_HKC,2023,7.685
07_INA,2023,279.934
08_JPN,2023,125.259
09_ROK,2023,51.959
10_MAS,2023,34.131
11_MEX,2023,138.322
12_NZ,2023,4.956
13_PNG,2023,9.268
14_PE,2023,34.419
15_RP,2023,114.497
16_RUS,2023,143.204
17_SIN,2023,6.081
18_CT,2023,23.968
19_THA,2023,69.62
20_USA,2023,338.524
21_VN,2023,101.084
27_WOR,2023,
01_AUS,2024,26.573
02_BD,2024,0.464
03_CDA,2024,38.868
04_CHL,2024,18.98
05_PRC,2024,1436.995
06_HKC,2024,7.726
07_INA,2024,282.376
08_JPN,2024,124.796
09_ROK,2024,52.093
10_MAS,2024,34.545
11_MEX,2024,139.745
12_NZ,2024,4.994
13_PNG,2024,9.442
14_PE,2024,34.778
15_RP,2024,116.086
16_RUS,2024,142.925
17_SIN,2024,6.119
18_CT,2024,24.009
19_THA,2024,69.66
20_USA,2024,340.895
21_VN,2024,101.943
27_WOR,2024,
01_AUS,2025,26.857
02_BD,2025,0.469
03_CDA,2025,39.173
04_CHL,2025,19.099
05_PRC,2025,1438.836
06_HKC,2025,7.768
07_INA,2025,284.751
08_JPN,2025,124.31
09_ROK,2025,52.219
10_MAS,2025,34.95
11_MEX,2025,141.132
12_NZ,2025,5.033
13_PNG,2025,9.614
14_PE,2025,35.13
15_RP,2025,117.665
16_RUS,2025,142.607
17_SIN,2025,6.157
18_CT,2025,24.045
19_THA,2025,69.685
20_USA,2025,343.256
21_VN,2025,102.764
27_WOR,2025,
01_AUS,2026,27.139
02_BD,2026,0.473
03_CDA,2026,39.473
04_CHL,2026,19.214
05_PRC,2026,1440.205
06_HKC,2026,7.814
07_INA,2026,287.056
08_JPN,2026,123.801
09_ROK,2026,52.338
10_MAS,2026,35.344
11_MEX,2026,142.484
12_NZ,2026,5.07
13_PNG,2026,9.788
14_PE,2026,35.478
15_RP,2026,119.232
16_RUS,2026,142.254
17_SIN,2026,6.196
18_CT,2026,24.077
19_THA,2026,69.699
20_USA,2026,345.602
21_VN,2026,103.543
27_WOR,2026,
01_AUS,2027,27.418
02_BD,2027,0.478
03_CDA,2027,39.769
04_CHL,2027,19.327
05_PRC,2027,1441.106
06_HKC,2027,7.859
07_INA,2027,289.292
08_JPN,2027,123.272
09_ROK,2027,52.447
10_MAS,2027,35.728
11_MEX,2027,143.801
12_NZ,2027,5.107
13_PNG,2027,9.962
14_PE,2027,35.821
15_RP,2027,120.789
16_RUS,2027,141.866
17_SIN,2027,6.234
18_CT,2027,24.103
19_THA,2027,69.701
20_USA,2027,347.93
21_VN,2027,104.284
27_WOR,2027,
01_AUS,2028,27.693
02_BD,2028,0.482
03_CDA,2028,40.059
04_CHL,2028,19.435
05_PRC,2028,1441.556
06_HKC,2028,7.905
07_INA,2028,291.46
08_JPN,2028,122.724
09_ROK,2028,52.546
10_MAS,2028,36.102
11_MEX,2028,145.083
12_NZ,2028,5.144
13_PNG,2028,10.137
14_PE,2028,36.156
15_RP,2028,122.332
16_RUS,2028,141.448
17_SIN,2028,6.273
18_CT,2028,24.125
19_THA,2028,69.69
20_USA,2028,350.23
21_VN,2028,104.986
27_WOR,2028,
01_AUS,2029,27.966
02_BD,2029,0.486
03_CDA,2029,40.342
04_CHL,2029,19.538
05_PRC,2029,1441.574
06_HKC,2029,7.948
07_INA,2029,293.56
08_JPN,2029,122.161
09_ROK,2029,52.631
10_MAS,2029,36.464
11_MEX,2029,146.329
12_NZ,2029,5.178
13_PNG,2029,10.312
14_PE,2029,36.485
15_RP,2029,123.86
16_RUS,2029,141.006
17_SIN,2029,6.308
